# {"t_start": 1574929805.8144362, "env_id": "Walker2d-v2"} 
r,l,t
43.03534,65,17.919641
-1.42947,24,17.95446
16.924336,41,18.014613
10.286866,36,18.067106
43.497819,70,18.170163
42.378122,55,18.250428
11.479186,37,18.303424
197.203528,123,18.478218
105.399444,112,18.636888
1.045787,25,18.672605
40.717524,51,18.744711
29.205048,48,18.812913
15.140343,45,18.876818
72.65904,75,18.983299
25.110885,56,19.062464
8.917565,24,19.096827
-0.712847,11,19.112424
16.318372,30,19.15461
5.189954,25,19.190215
142.036442,94,19.323344
14.890362,48,19.39128
50.341819,137,21.518559
69.19521,154,21.745331
63.302347,152,21.968701
76.488551,164,22.210498
73.74296,156,22.441968
103.161966,183,22.713187
126.976198,202,23.012352
90.813626,164,23.250991
182.711411,270,23.637693
112.0897,206,23.932481
73.396668,143,24.136693
108.836616,153,26.298119
-3.504163,16,26.321921
-1.925568,16,26.345692
-6.151373,21,26.376925
-1.777792,18,26.403871
2.977587,21,26.435016
2.899279,22,26.467391
1.157568,17,26.492524
-4.326664,15,26.51469
-4.000975,17,26.539711
23.229786,56,26.621516
-0.246028,19,26.649858
0.856324,18,26.676403
-2.629812,17,26.701612
1.923843,22,26.734087
6.401882,23,26.767869
25.008922,46,26.835006
0.402894,23,26.868798
3.382538,20,26.898557
-1.631784,16,26.922064
19.24951,36,26.975355
-3.568027,18,27.002085
-4.364351,19,27.030137
-1.68785,15,27.052275
1.911923,17,27.077547
8.393285,21,27.108451
0.554373,17,27.133775
4.387149,21,27.165033
3.613253,22,27.197874
-4.382896,18,27.224778
3.720042,21,27.256013
-2.707318,16,27.279911
0.447475,18,27.306693
-2.798531,15,27.328923
40.289113,58,27.414063
-3.043315,17,27.439457
5.714079,19,27.467807
6.296641,23,27.50181
-0.473549,20,27.531579
0.210826,21,27.562405
0.362121,24,27.598079
8.316817,24,27.63321
-0.111892,18,27.659794
-7.473851,19,27.687939
-2.456953,15,27.710465
-4.271317,16,27.734026
7.124246,25,27.77044
-2.953868,19,27.798577
10.136135,26,27.836749
-1.165431,17,27.86175
-2.152599,19,27.889567
-3.291265,16,27.913099
4.237285,23,27.946149
-3.687018,15,27.967505
-4.662185,14,27.987292
3.044652,19,28.014379
-3.15226,16,28.036855
0.316329,19,28.063775
1.923851,19,28.090771
5.809299,22,28.121982
1.638831,22,28.153075
1.073256,16,28.175729
2.888843,21,28.205395
2.211149,20,28.233811
0.100135,18,28.259212
-3.086379,15,28.280548
1.57638,20,28.308998
-0.121658,19,28.335983
8.498985,24,28.37021
39.436224,63,28.459679
-0.560004,20,28.488022
-3.4417,21,28.517912
-0.449805,20,28.546515
43.859099,69,28.644374
-0.840488,16,28.667167
6.128782,25,28.70266
29.739434,53,28.777605
24.999951,49,28.847245
28.766845,49,28.916678
-4.065171,16,28.939557
20.097769,45,29.0031
-5.836233,17,29.027272
30.109018,50,29.097754
-3.537155,17,29.121944
2.131517,21,29.151759
49.516287,78,31.197738
98.537606,142,31.481188
138.559889,193,31.788469
254.478047,319,32.259453
90.350577,143,32.470455
93.015997,142,32.680349
430.623874,321,33.141984
105.088806,154,33.361405
86.316447,132,33.548804
92.307265,133,33.738652
116.157502,160,33.966558
209.735962,269,36.292102
335.321642,227,36.6361
286.269688,178,36.899331
-1.879596,13,36.918481
-4.721781,13,36.93763
299.302618,191,37.220177
-0.45257,12,37.237828
-2.165198,13,37.256955
1.04771,17,37.282314
310.633964,195,37.570168
104.401902,152,37.786631
-4.917403,12,37.803491
175.720209,210,38.100808
307.960215,196,38.378602
49.005387,58,38.460671
-2.193088,12,38.477664
275.136494,170,38.718776
-3.37686,15,38.739757
-3.701653,12,38.756852
278.936646,171,38.999399
-2.039025,11,39.014897
10.423005,27,39.053136
60.816591,79,41.145868
327.590107,235,41.543203
234.652995,341,42.061864
56.486766,129,42.252904
69.832292,143,42.464083
58.623261,135,42.657551
150.243888,236,42.993201
71.856731,147,43.20217
316.044266,217,43.511946
94.937218,179,43.766984
81.49778,157,43.990994
116.006248,201,46.2388
77.37558,146,46.45566
75.937498,143,46.666387
59.914379,119,46.851595
79.650015,144,47.066957
75.569148,148,47.286254
74.393198,141,47.487139
628.309202,770,48.584715
58.598088,124,48.761675
80.49468,151,48.977228
85.404545,181,51.217862
107.280156,219,51.542664
67.674798,166,51.788799
84.571678,188,52.068875
62.604604,160,52.299227
62.077182,155,52.520444
87.469918,188,52.788034
94.129408,201,53.074551
57.257785,151,53.29028
77.618621,175,53.540348
50.782504,141,53.742232
84.775433,185,54.005677
49.97545,156,56.180531
116.104735,255,56.558086
118.725476,254,56.935211
45.059797,157,57.164111
75.927127,188,57.432256
241.131523,219,57.744721
241.065753,207,58.040396
279.976918,272,58.428758
69.682167,188,58.697804
174.039916,136,58.892528
236.286843,207,61.166159
197.29109,168,61.415829
245.187928,228,61.753894
105.45934,228,62.079777
248.388872,232,62.411184
220.844456,181,62.670017
91.974795,209,62.969054
285.992255,278,63.367155
263.393392,240,63.712732
259.549229,206,65.996078
52.556591,146,66.214096
244.097013,227,66.552628
237.376715,209,66.850973
81.913034,191,67.123438
259.019977,229,67.454637
197.796241,153,67.675458
60.571155,166,67.912743
237.016687,203,68.20334
228.144969,204,68.495321
73.124068,178,68.74992
223.471771,194,71.035118
79.375297,192,71.321229
232.128109,201,71.610044
238.220374,194,71.886831
265.869402,235,72.22212
93.249669,201,72.508339
220.305287,192,72.783257
273.500379,248,73.138982
222.317854,185,73.403231
81.254921,183,73.665195
229.83004,190,75.941903
233.52292,191,76.2261
244.182681,219,76.538569
215.776666,178,76.792523
220.667155,194,77.069816
210.846335,180,77.326501
215.608209,174,77.575061
217.742915,176,77.831525
74.883101,164,78.065487
72.997598,185,78.330014
191.584344,147,78.541005
220.718856,195,80.812353
209.898634,178,81.075592
258.290884,236,81.412173
259.125041,240,81.754537
231.657395,188,82.023623
91.292814,176,82.274494
241.729761,217,82.585174
245.655291,214,82.891639
220.710035,191,83.164705
247.537962,221,83.482202
218.206285,182,85.723079
218.33289,184,85.991532
93.324439,195,86.268998
88.508036,188,86.53633
204.098114,167,86.774587
214.575231,182,87.03493
256.335312,232,87.366679
222.648337,197,87.648397
219.322655,185,87.913801
218.062738,181,88.177173
124.900717,223,88.496941
227.409563,181,90.761675
221.841553,182,91.020697
85.937041,187,91.286698
233.224047,190,91.557124
215.46296,181,91.815169
192.440555,158,92.04125
220.142423,193,92.31726
202.607537,166,92.554645
-6.957844,7,92.564363
233.244425,201,92.852626
236.501027,212,93.155864
-3.399929,9,93.168695
-4.27597,6,93.17712
-7.544344,8,93.188627
-2.374763,9,93.201252
196.0934,160,93.430531
220.203418,182,95.691653
195.446096,162,95.922732
298.634561,290,96.336607
223.825451,182,96.596051
205.306764,174,96.844316
226.7684,196,97.124809
227.756828,187,97.392897
230.851462,209,97.691071
230.011277,206,97.985616
222.815244,190,98.260026
204.465668,170,100.512052
201.58914,172,100.75755
209.191697,175,101.006697
-5.029782,7,101.01659
233.037196,205,101.309707
84.332696,177,101.562391
133.482476,234,101.896152
202.104722,167,102.135161
269.958856,253,102.497845
196.107756,164,102.732894
210.802896,175,102.984069
223.174795,188,103.254215
-3.222381,9,103.266975
219.356782,188,105.60992
221.033537,177,105.86174
-7.282487,6,105.870216
249.389647,207,106.165411
230.583607,200,106.451615
238.748053,209,106.750582
217.722258,186,107.016962
193.451073,151,107.233135
217.911455,175,107.48401
-6.289919,7,107.493948
-3.633815,10,107.508118
-5.772363,7,107.518236
204.459342,176,107.770282
220.814646,200,108.057199
-8.232933,7,108.067032
228.587782,196,108.348255
206.400653,164,110.559429
192.873848,156,110.781447
221.069186,188,111.048786
-7.505318,7,111.058706
202.445363,165,111.293465
-7.312465,6,111.301845
240.437204,204,111.591769
237.0599,208,111.887619
-8.084572,7,111.89763
-6.300123,6,111.906272
-5.747155,6,111.914595
-2.935125,8,111.925879
-5.385915,7,111.935823
69.89822,149,112.149769
203.634282,173,112.396474
-7.882143,6,112.404906
201.840123,172,112.650637
76.081462,154,112.870683
231.787812,195,113.1488
-4.123863,7,113.158516
203.026183,166,115.422024
207.745947,170,115.663652
-4.551189,7,115.673485
-5.412101,7,115.683313
-4.803433,8,115.69494
234.187075,212,115.996827
-5.764864,7,116.006599
-7.191684,6,116.015064
-6.631746,7,116.025025
192.615034,150,116.238138
-8.043056,7,116.248069
228.825116,187,116.51506
221.813736,186,116.780275
-6.673183,7,116.790131
152.935185,260,117.161073
-7.06533,6,117.169525
210.05334,165,117.405345
-6.555806,7,117.415275
-4.218067,7,117.425176
218.057567,182,117.685155
-5.046221,7,117.695125
104.089093,196,117.975763
-4.557753,9,117.988651
212.534353,165,120.265099
202.359658,161,120.494007
197.672972,158,120.71868
204.753906,165,120.953224
231.568382,186,121.218405
228.928838,192,121.491623
224.209679,186,121.756489
-3.195488,9,121.76926
-5.300268,7,121.779191
204.945837,164,122.013081
-6.51956,7,122.022998
72.219721,153,122.241028
-6.667246,8,122.252481
-6.26199,6,122.260861
207.248049,161,122.490705
-6.724402,6,122.499385
-5.325648,7,122.509226
229.175973,196,122.788896
-6.83752,7,122.798857
-8.333186,7,122.808729
-6.701729,6,122.817185
-7.214274,6,122.825738
204.158004,160,123.056057
-4.505106,7,123.066489
-3.2401,7,123.076845
215.956211,181,125.412444
-7.136849,7,125.422298
-7.940287,8,125.433637
-4.996843,7,125.443518
220.703719,173,125.690147
-8.24653,7,125.70003
-6.563156,6,125.708529
221.437784,182,125.967902
-6.099,7,125.977808
-8.161785,7,125.98789
228.190877,193,126.262781
117.190479,206,126.556509
200.387528,158,126.782084
197.207989,163,127.015119
-6.755538,7,127.024904
239.52321,204,127.317185
205.84044,164,127.551421
-5.945862,8,127.562755
201.215761,167,127.802255
208.829566,171,128.050004
-7.356776,7,128.060523
208.576765,170,130.366879
215.433724,174,130.613273
265.467349,242,130.957338
201.119807,155,131.177808
-5.438322,10,131.191938
2.667011,16,131.214399
-3.686209,7,131.224166
-2.565285,9,131.236887
-8.561928,7,131.246753
-6.255167,6,131.255163
-5.141215,7,131.265088
-7.785834,6,131.273721
-6.695414,7,131.283455
209.895764,168,131.522264
202.534999,166,131.757843
216.674008,184,132.019535
-7.054338,6,132.028061
-7.72684,6,132.036546
-6.77818,7,132.046686
-4.416283,7,132.056455
228.166245,193,132.331361
231.235815,188,132.599354
222.66729,192,132.873996
-5.315009,7,132.88379
-7.723863,6,132.892711
214.913701,180,133.153829
224.782766,196,135.430743
177.098241,136,135.624161
206.362419,157,135.848275
-3.430975,7,135.858179
195.322781,158,136.084149
-8.018265,6,136.092636
205.839847,165,136.328253
219.518914,173,136.575496
285.503905,272,136.965321
-7.319191,6,136.973665
217.310375,178,137.228711
-4.719218,7,137.23848
207.029078,176,137.490903
-7.707067,6,137.499384
-7.761763,6,137.507852
-9.362347,7,137.517785
-5.027409,7,137.52767
-5.632924,6,137.536292
191.077788,148,137.749084
-7.496244,6,137.75754
-7.124526,6,137.766149
218.828211,182,138.031481
222.014192,190,140.385258
204.562363,164,140.619224
-5.917491,8,140.630601
-0.516319,19,140.657743
-5.051515,7,140.667677
-6.607725,6,140.676209
239.988976,218,140.988335
-6.14244,8,140.99967
-4.480972,7,141.009631
-6.255028,7,141.019534
-7.127765,6,141.02795
206.574706,170,141.271155
-7.194369,6,141.279678
-5.037163,9,141.292372
215.888021,172,141.538291
-6.787481,6,141.546619
-7.022245,6,141.555141
301.48389,282,141.958706
-6.841889,6,141.967311
-7.978809,7,141.977337
-6.983404,6,141.985753
217.823371,173,142.233524
-5.960453,7,142.243471
-6.750295,6,142.251983
-7.124824,7,142.262107
-7.236562,6,142.270585
-7.636534,7,142.280504
232.786472,183,142.542129
-7.93285,7,142.552253
2.213569,19,142.579229
251.462447,218,142.893949
-3.795302,8,142.905989
210.014667,170,145.132018
212.675974,183,145.393064
214.23437,175,145.642827
208.700093,174,145.890687
-6.458763,7,145.900454
4.229974,17,145.924751
220.771711,186,146.189846
-7.644698,6,146.198401
229.262534,194,146.474782
-6.769983,7,146.484571
224.516576,196,146.764391
253.152839,233,147.098093
-2.231923,10,147.112203
207.885256,170,147.355496
116.601557,195,147.634583
