# {"t_start": 1574895500.7457552, "env_id": "Swimmer-v2"} 
r,l,t
34.930576,1000,534.073381
34.601254,1000,535.385205
36.48464,1000,538.59224
40.750655,1000,539.910956
36.373942,1000,543.142904
38.755335,1000,544.448272
37.29059,1000,547.63727
35.043246,1000,548.944679
35.657746,1000,552.12604
41.510341,1000,553.432981
39.592274,1000,556.656414
40.829292,1000,557.965464
38.146065,1000,561.173249
40.644358,1000,562.483257
37.76278,1000,563.78932
37.671019,1000,566.962874
38.126731,1000,568.267731
39.258619,1000,571.440611
41.739371,1000,572.746037
40.394353,1000,575.917696
34.544775,1000,577.222507
40.788111,1000,580.393226
40.166194,1000,581.691049
40.830236,1000,584.898394
37.882135,1000,586.200908
38.130921,1000,589.3859
35.50498,1000,590.690305
39.874063,1000,593.88711
36.73872,1000,595.19296
40.918323,1000,598.372688
38.720194,1000,599.675388
38.902482,1000,602.860064
38.39856,1000,604.165671
39.886402,1000,607.337996
39.189059,1000,608.655093
38.749957,1000,611.791126
40.823798,1000,613.1074
38.310271,1000,616.238266
38.946835,1000,617.561632
39.860094,1000,620.690619
39.954318,1000,622.017985
39.779213,1000,625.138224
38.036854,1000,626.463035
38.371482,1000,629.59743
44.416216,1000,630.947169
38.028211,1000,634.087732
35.221398,1000,635.417845
38.730612,1000,638.548476
42.66981,1000,639.873942
39.296922,1000,643.004385
37.683086,1000,644.315629
41.74428,1000,647.44109
42.509302,1000,648.751568
40.147418,1000,651.9029
39.877176,1000,653.209559
38.496013,1000,656.40164
41.735081,1000,657.697619
42.264647,1000,659.020456
