# {"t_start": 1574930205.0712144, "env_id": "Walker2d-v2"} 
r,l,t
-6.548739,17,11.818672
-2.97795,20,11.848126
-4.159457,17,11.87328
-5.70708,10,11.888129
4.726921,35,11.939173
0.014251,11,11.95557
-2.284922,18,11.982317
-0.407632,12,11.99998
-3.773924,14,12.020671
-9.777769,22,12.052871
-10.549644,27,12.092891
-1.777687,10,12.107964
-8.3634,24,12.143426
-4.044555,23,12.17739
1.027627,25,12.214083
4.670054,26,12.252551
1.250243,12,12.270412
5.042712,27,12.309768
-1.256301,8,12.32162
0.013043,13,12.340598
4.756025,16,12.364112
-3.722248,8,12.37607
1.173907,18,12.402637
-1.227689,19,12.430599
2.94791,21,12.461414
-8.343015,20,12.490758
4.234474,19,12.51835
10.685856,28,12.559349
-1.571093,19,12.587485
-0.250261,16,12.61108
-2.688547,10,12.625972
0.359105,15,12.648047
-2.185493,17,12.673359
0.024153,17,12.698274
9.34581,24,12.733542
-0.464603,17,12.75858
-6.224521,19,12.786536
4.025425,28,12.827724
4.927716,23,12.861432
-2.024803,10,12.876072
-0.189458,14,12.896873
10.842743,33,12.945415
-2.074322,30,12.989818
0.415897,17,13.014709
1.551337,22,13.047533
4.169326,30,13.091264
0.264093,10,13.106071
-5.407493,21,13.135992
-4.837544,25,13.171623
-1.139819,18,13.197092
-0.667,38,13.250876
1.992253,14,13.270747
-7.724736,19,13.297597
2.564834,35,13.347049
-6.933325,20,13.375216
-2.343393,10,13.38958
0.212923,12,13.406552
6.254405,26,13.443576
-5.071754,15,13.46475
-0.395059,12,13.481755
3.404937,23,13.514101
-1.855935,27,13.552244
-2.532656,26,13.589182
3.442617,25,13.624569
-1.808373,11,13.639957
-2.921246,19,13.666794
-0.446205,13,13.685277
3.249344,18,13.710634
-3.531268,25,13.746071
3.962138,38,13.799777
4.593366,13,13.818199
-1.181915,13,13.836784
-6.18424,19,13.863624
0.977116,15,13.885077
-1.392334,11,13.900749
2.652124,21,13.930537
-4.251216,8,13.941879
-4.887479,25,13.977474
-0.114492,22,14.008861
-4.288805,16,14.031834
-0.596451,10,14.046071
-1.674769,22,14.0775
-0.360051,11,14.093126
-2.228481,23,14.125716
6.791955,19,14.15271
3.701578,27,14.191107
-0.106139,13,14.209613
-4.419734,19,14.2367
1.487204,16,14.259617
2.444772,15,14.28103
2.449305,24,16.140548
0.309934,27,16.180559
3.935706,15,16.202881
4.995002,28,16.244248
-4.942945,21,16.275378
-1.089281,33,16.324301
1.892134,26,16.363014
-4.182378,22,16.395941
-0.177762,11,16.412243
-3.752195,21,16.44338
1.457963,26,16.482114
-1.268084,17,16.507062
-0.725894,9,16.520227
-2.286628,11,16.536291
18.895326,38,16.592361
-1.126566,27,16.631596
-3.907825,25,16.668716
-4.71077,11,16.685105
-3.074824,9,16.698555
-4.382872,20,16.727993
0.458999,21,16.758698
-0.69198,12,16.776287
2.300135,17,16.801547
-2.295326,11,16.817688
-0.705583,18,16.844404
-4.860006,12,16.862307
-0.193627,20,16.891404
-6.744609,18,16.917695
4.768406,21,16.948677
-1.018945,14,16.969538
3.857238,21,17.00042
3.990591,29,17.043011
6.633516,23,17.076991
-4.121075,24,17.112431
3.960005,33,17.161087
4.138669,22,17.193468
-1.716231,16,17.216851
-1.149861,11,17.233137
-6.339045,15,17.255065
0.189585,22,17.287404
0.459246,19,17.315412
-1.867447,9,17.328843
3.017776,34,17.378805
1.02477,19,17.40636
2.187778,12,17.424171
-5.252976,18,17.450746
-0.82118,16,17.474278
1.136225,25,17.511
-2.144359,17,17.53641
-5.010311,14,17.557005
6.296578,26,17.594761
-0.55797,15,17.617015
-0.943481,20,17.646766
-2.419234,14,17.667725
0.705195,11,17.684076
2.33892,15,17.706145
-0.994776,10,17.721228
-8.070828,23,17.754932
4.405888,23,17.788819
1.505577,16,17.812329
0.620563,28,17.853547
-3.345822,24,17.888766
-2.722717,16,17.912394
-0.548355,13,17.931739
-1.477415,18,17.958449
-3.392565,14,17.979421
6.43459,29,18.021402
-1.197975,12,18.038634
-0.495776,24,18.072957
-1.808318,13,18.091569
4.402551,22,18.123043
-2.067904,11,18.138954
1.296543,13,18.157563
3.294891,22,18.189079
-3.735886,24,18.223395
3.588389,21,18.253405
13.133761,28,18.293316
-2.368071,29,18.334676
-0.376056,19,18.361704
-3.765824,22,18.392957
-2.461429,26,18.430066
3.800345,21,18.460136
1.146357,23,18.493032
-2.636377,7,18.502975
-5.213635,16,18.525773
3.546951,17,18.54994
4.757027,22,18.581264
-2.93587,21,18.61112
-8.100388,16,18.633786
4.13124,15,18.655229
1.549515,18,18.68117
-2.36344,26,18.71837
-8.520072,24,18.752546
-1.48246,10,18.76687
-3.419994,19,18.794059
-3.253218,8,18.80541
2.499005,18,18.831135
-2.875001,10,18.845417
6.694263,20,18.873979
0.859725,14,18.893971
0.171011,13,18.912524
-3.477221,10,18.926749
-1.01261,28,18.966754
-5.473764,21,18.99664
-5.190073,15,19.018142
-3.436257,30,19.061067
-0.465923,16,19.083944
0.144986,11,19.099678
13.42886,40,20.980957
2.267428,26,21.018696
6.862547,21,21.049574
-0.647278,34,21.09968
0.519603,35,21.151182
-6.205154,18,21.177768
0.260387,18,21.204909
1.73509,19,21.233344
-2.209537,30,21.278173
2.260958,21,21.309288
-6.677204,25,21.346423
2.514992,16,21.37083
-2.568692,16,21.394388
0.092699,13,21.413795
1.623871,19,21.441821
-4.57448,20,21.471042
-0.35749,10,21.485611
2.751126,22,21.517944
-1.056393,26,21.556136
-0.747391,32,21.602219
-2.961638,45,21.667551
0.302667,23,21.701387
8.320409,25,21.738198
1.336753,14,21.758538
0.750233,20,21.787847
1.810148,25,21.824612
-4.600034,17,21.849743
-3.37655,10,21.864658
3.520849,14,21.88505
-2.776332,11,21.901226
-1.713055,35,21.952679
4.289297,23,21.986662
-3.311361,12,22.004346
7.587956,29,22.046692
1.246447,12,22.064553
8.564528,23,22.09817
-1.532162,14,22.118826
-3.294582,9,22.132345
2.168233,16,22.155561
-2.833979,27,22.19515
-4.455425,19,22.222783
-3.224621,12,22.240571
-2.506526,13,22.259729
-2.757875,12,22.277462
8.272941,34,22.327066
3.324438,18,22.353139
12.645364,45,22.419505
3.252774,15,22.441657
-0.434038,10,22.456482
7.383693,25,22.493177
8.959638,33,22.541374
1.874043,36,22.594208
-2.761598,20,22.623487
11.544486,26,22.661494
-0.868955,28,22.702122
-7.97626,14,22.722597
-4.600105,24,22.757777
-2.361169,10,22.772554
10.237255,41,22.832525
0.3924,21,22.863679
-1.338676,22,22.895651
-6.813915,25,22.931598
1.219706,28,22.971385
4.294146,30,23.014093
3.994148,30,23.05672
5.025258,21,23.086336
1.000725,21,23.116179
-1.16124,20,23.14471
-2.18615,9,23.157686
1.384787,23,23.190416
3.315108,38,23.244307
4.799547,24,23.278504
-1.012355,15,23.299702
0.005816,16,23.322452
-6.685441,20,23.350946
1.706001,23,23.383523
3.766817,21,23.413342
0.870401,21,23.443366
-3.840902,22,23.474203
5.88052,47,23.540916
-0.264764,13,23.559464
11.733686,35,23.609036
9.523075,31,23.652786
3.799262,19,23.67985
-0.992712,14,23.699716
0.945553,12,23.716733
-4.694186,22,23.748008
-1.756264,32,23.793574
0.839195,30,23.835913
14.582776,32,23.881118
3.238284,19,23.908051
-0.024296,11,25.756079
-0.150022,12,25.772771
-2.559832,21,25.802915
2.056544,13,25.821496
2.274284,24,25.855702
-1.069785,20,25.884979
-2.54103,40,25.944675
2.227375,25,25.982129
-1.338302,21,26.013539
-2.582971,42,26.075935
-5.774804,27,26.116261
11.835412,57,26.200851
-0.506215,19,26.228921
-1.353146,27,26.268835
5.214682,23,26.303072
10.078276,26,26.341612
-0.655204,24,26.377028
10.810008,29,26.420057
0.257859,17,26.445123
1.826619,13,26.464641
7.997908,30,26.508996
-5.544093,27,26.548911
0.124209,11,26.565641
20.442828,40,26.625147
1.187934,32,26.672696
-6.105184,22,26.705301
-2.078997,26,26.743148
6.65309,24,26.77897
5.608333,21,26.809838
5.712626,20,26.8394
2.273575,22,26.871882
-2.948406,13,26.891089
21.056726,35,26.943098
4.188244,21,26.974159
4.767192,25,27.010716
-0.642195,20,27.040183
1.864726,36,27.093023
3.063657,24,27.128479
0.325949,13,27.147882
2.148057,20,27.177087
-1.48086,10,27.191926
3.544217,22,27.224484
-1.490096,18,27.251121
1.315073,30,27.295051
0.647221,18,27.321755
-1.842537,12,27.339549
-3.137817,20,27.369423
4.647437,25,27.406523
4.372837,24,27.442269
1.74788,16,27.466302
2.483935,17,27.491883
0.82913,14,27.5128
3.003038,21,27.544348
4.096527,23,27.578072
9.792484,34,27.627766
2.966004,19,27.65573
3.198343,16,27.679453
4.360761,28,27.720931
1.662765,22,27.75325
-5.603274,18,27.779569
-5.337056,28,27.819353
-3.185468,22,27.850812
3.166881,28,27.890542
-1.433377,27,27.928694
1.223398,17,27.952909
3.003814,20,27.981442
0.612071,32,28.026763
7.427596,38,28.080612
0.171874,23,28.113297
-0.013999,28,28.153011
-0.2027,22,28.184303
-3.280807,16,28.207095
-0.911153,24,28.240954
0.161279,13,28.259284
-2.317446,31,28.303406
4.715983,22,28.334625
0.889921,22,28.365809
6.730699,25,28.401585
-3.226635,17,28.425813
1.820757,24,28.46006
-6.237378,17,28.484071
-3.209069,23,28.516778
-1.115708,22,28.548268
-1.432294,15,28.569647
6.214891,43,28.630776
-0.277073,17,28.654876
-3.071642,22,28.685927
-2.777083,8,28.697302
0.667316,27,28.735657
-1.846024,16,30.596365
0.756868,19,30.623291
8.009054,37,30.676007
4.357745,18,30.701494
10.098763,29,30.743013
-0.773396,29,30.785984
4.388845,14,30.806879
-2.295369,27,30.846914
-0.709492,10,30.861841
18.086563,38,30.918541
1.950168,19,30.947144
-6.969416,18,30.973992
2.394699,21,31.005468
1.005734,30,31.050403
6.331803,31,31.096216
-4.092434,23,31.13033
-1.272693,12,31.14841
2.316472,23,31.18308
2.243548,24,31.218584
-0.35813,14,31.23959
-0.266349,28,31.281091
7.943672,55,31.362286
4.17817,24,31.397993
-4.130686,11,31.414467
3.392735,23,31.448534
15.987237,33,31.497592
3.468064,15,31.519846
8.976765,31,31.566092
4.67115,17,31.59191
-1.472613,25,31.62942
-5.66349,22,31.662473
-0.793259,20,31.69301
4.432753,21,31.724155
-3.989904,46,31.792393
7.885285,39,31.850082
5.811674,25,31.887232
-5.451819,17,31.9125
5.605146,16,31.93621
3.689696,24,31.971907
12.701603,28,32.013337
2.354961,15,32.035579
0.536021,19,32.063495
0.848518,40,32.122572
-3.168259,8,32.134746
0.90165,19,32.162926
17.979739,32,32.210175
